Occurrence_ID,Work_ID,Source_Commit,Source_Line,Source_Section,Source_Subsection,Title_As_Listed,Primary_URL_As_Listed,Strong_Identifier,Repository_Date,Venue_Label,Taxonomy_Branch,Feedback_Type,Feedback_Subtype,Feedback_Granularity,Feedback_Phase,Interaction_Types,Interaction_Variant,Orchestration_Strategy,Orchestration_Synchronization,Communication_Structure,Communication_Mode
ACL26-O-0046,ACL26-W-28AB5703E4A4,7b3ba9deefe99172748582f6025d995ccc2a6f86,156,Latest Research Papers,,Enabling Self-Improving Agents to Learn at Test Time With Human-In-The-Loop Guidance,https://www.arxiv.org/abs/2507.17131,arxiv:2507.17131,2025-07-23,arXiv 2025,,,,,,,,,,,
ACL26-O-0047,ACL26-W-5A27EB5BD15D,7b3ba9deefe99172748582f6025d995ccc2a6f86,158,Latest Research Papers,,Interaction as Intelligence: Deep Research With Human-AI Partnership,https://arxiv.org/abs/2507.15759,arxiv:2507.15759,2025-07-21,arXiv 2025,,,,,,,,,,,
ACL26-O-0048,ACL26-W-6A094D00A991,7b3ba9deefe99172748582f6025d995ccc2a6f86,160,Latest Research Papers,,"Interaction, Process, Infrastructure: A Unified Architecture for Human-Agent Collaboration",https://arxiv.org/abs/2506.11718,arxiv:2506.11718,2025-06-13,arXiv 2025,,,,,,,,,,,
ACL26-O-0049,ACL26-W-8250E5C694E6,7b3ba9deefe99172748582f6025d995ccc2a6f86,162,Latest Research Papers,,A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy,https://arxiv.org/abs/2506.09420,arxiv:2506.09420,2025-06-11,arXiv 2025,,,,,,,,,,,
ACL26-O-0050,ACL26-W-060DCE500842,7b3ba9deefe99172748582f6025d995ccc2a6f86,165,Latest Research Papers,,τ2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,https://arxiv.org/abs/2506.07982,arxiv:2506.07982,2025-06-09,arXiv 2025,,,,,,,,,,,
ACL26-O-0051,ACL26-W-B69583C9CACE,7b3ba9deefe99172748582f6025d995ccc2a6f86,168,Latest Research Papers,,Future of Work with AI Agents: Auditing Automation and Augmentation Potential across the U.S. Workforce,https://arxiv.org/abs/2506.06576,arxiv:2506.06576,2025-06-06,arXiv 2025,,,,,,,,,,,
ACL26-O-0052,ACL26-W-298AE29DE73E,7b3ba9deefe99172748582f6025d995ccc2a6f86,170,Latest Research Papers,,Learning to Clarify: Multi-turn Conversations with Action-Based Contrastive Self-Training,https://arxiv.org/abs/2406.00222,arxiv:2406.00222,2025-05-24,ICLR 2025,,,,,,,,,,,
ACL26-O-0053,ACL26-W-28C8BBD8854D,7b3ba9deefe99172748582f6025d995ccc2a6f86,172,Latest Research Papers,,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,https://arxiv.org/abs/2505.18279v1,arxiv:2505.18279,2025-05-23,arXiv 2025,,,,,,,,,,,
ACL26-O-0054,ACL26-W-9C1E5C5352DF,7b3ba9deefe99172748582f6025d995ccc2a6f86,174,Latest Research Papers,,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,https://arxiv.org/abs/2505.16023,arxiv:2505.16023,2025-05-21,arXiv 2025,,,,,,,,,,,
ACL26-O-0055,ACL26-W-C970EBF2C407,7b3ba9deefe99172748582f6025d995ccc2a6f86,176,Latest Research Papers,,XtraGPT: LLMs for Human-AI Collaboration on Controllable Academic Paper Revision,https://arxiv.org/abs/2505.11336,arxiv:2505.11336,2025-05-16,arXiv 2025,,,,,,,,,,,
ACL26-O-0056,ACL26-W-84B6E8816340,7b3ba9deefe99172748582f6025d995ccc2a6f86,178,Latest Research Papers,,SymbioticRAG: Enhancing Document Intelligence Through Human-LLM Symbiotic Collaboration,https://web3.arxiv.org/abs/2505.02418,arxiv:2505.02418,2025-05-05,arXiv 2025,,,,,,,,,,,
ACL26-O-0057,ACL26-W-648348500982,7b3ba9deefe99172748582f6025d995ccc2a6f86,180,Latest Research Papers,,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,https://arxiv.org/abs/2505.00753,arxiv:2505.00753,2025-05-01,arXiv 2025,,,,,,,,,,,
ACL26-O-0058,ACL26-W-5BB72E12140C,7b3ba9deefe99172748582f6025d995ccc2a6f86,182,Latest Research Papers,,EmoAgent: Assessing and Safeguarding Human-AI Interaction for Mental Health Safety,https://arxiv.org/abs/2504.09689,arxiv:2504.09689,2025-04-13,arXiv 2025,,,,,,,,,,,
ACL26-O-0059,ACL26-W-DB6A36EBE966,7b3ba9deefe99172748582f6025d995ccc2a6f86,184,Latest Research Papers,,MineWorld: a Real-Time and Open-Source Interactive World Model on Minecraft,https://arxiv.org/abs/2504.08388,arxiv:2504.08388,2025-04-11,arXiv 2025,,,,,,,,,,,
ACL26-O-0060,ACL26-W-50722DD72D20,7b3ba9deefe99172748582f6025d995ccc2a6f86,186,Latest Research Papers,,APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay,https://arxiv.org/abs/2504.03601,arxiv:2504.03601,2025-04-04,arXiv 2025,,,,,,,,,,,
ACL26-O-0061,ACL26-W-FD19E6D06C96,7b3ba9deefe99172748582f6025d995ccc2a6f86,188,Latest Research Papers,,SPHERE: An Evaluation Card for Human-AI Systems,https://arxiv.org/abs/2504.07971,arxiv:2504.07971,2025-03-24,ACL 2025 Findings,,,,,,,,,,,
ACL26-O-0062,ACL26-W-EC4A2ED9764C,7b3ba9deefe99172748582f6025d995ccc2a6f86,190,Latest Research Papers,,SWEET-RL: Training Multi-Turn LLM Agents on Collaborative Reasoning Tasks,https://arxiv.org/abs/2503.15478,arxiv:2503.15478,2025-03-19,arXiv 2025,,,,,,,,,,,
ACL26-O-0063,ACL26-W-D41B8F50CF09,7b3ba9deefe99172748582f6025d995ccc2a6f86,192,Latest Research Papers,,Experimental Exploration: Investigating Cooperative Interaction Behavior Between Humans and Large Language Model Agents,https://arxiv.org/abs/2503.07320,arxiv:2503.07320,2025-03-10,arXiv 2025,,,,,,,,,,,
ACL26-O-0064,ACL26-W-8EDE1E377D5D,7b3ba9deefe99172748582f6025d995ccc2a6f86,194,Latest Research Papers,,FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting,https://arxiv.org/abs/2503.02692,arxiv:2503.02692,2025-03-04,arXiv 2025,,,,,,,,,,,
ACL26-O-0065,ACL26-W-DA93B8446B62,7b3ba9deefe99172748582f6025d995ccc2a6f86,196,Latest Research Papers,,M3HF: Multi-agent Reinforcement Learning from Multi-phase Human Feedback of Mixed Quality,https://openreview.net/forum?id=2Sl6Ex7Vmo,openreview:2sl6ex7vmo,2025-03-03,ICML 2025,,,,,,,,,,,
ACL26-O-0066,ACL26-W-3BFB45451A36,7b3ba9deefe99172748582f6025d995ccc2a6f86,198,Latest Research Papers,,ConvCodeWorld: Benchmarking Conversational Code Generation in Reproducible Feedback Environments,https://arxiv.org/abs/2502.19852,arxiv:2502.19852,2025-02-27,ICLR 2025,,,,,,,,,,,
ACL26-O-0067,ACL26-W-5EC9FA89DEB5,7b3ba9deefe99172748582f6025d995ccc2a6f86,200,Latest Research Papers,,Leveraging Dual Process Theory in Language Agent Framework for Real-time Simultaneous Human-AI Collaboration,https://arxiv.org/abs/2502.11882,arxiv:2502.11882,2025-02-17,ACL 2025,,,,,,,,,,,
ACL26-O-0068,ACL26-W-4D0DB4800AF8,7b3ba9deefe99172748582f6025d995ccc2a6f86,202,Latest Research Papers,,CollabLLM: From Passive Responders to Active Collaborators,https://openreview.net/forum?id=DmH4HHVb3y,openreview:dmh4hhvb3y,2025-02-02,ICML 2025,,,,,,,,,,,
ACL26-O-0069,ACL26-W-423C8B00B679,7b3ba9deefe99172748582f6025d995ccc2a6f86,204,Latest Research Papers,,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,https://arxiv.org/abs/2501.16609,arxiv:2501.16609,2025-01-28,NAACL 2025 Demo,,,,,,,,,,,
ACL26-O-0070,ACL26-W-D19212BC55B0,7b3ba9deefe99172748582f6025d995ccc2a6f86,206,Latest Research Papers,,To Help or Not to Help: LLM-based Attentive Support for Human-Robot Group Interactions,https://ieeexplore.ieee.org/abstract/document/10801517,title:to help or not to help llm based attentive support for human robot group interactions,2024-12-25,IROS 2024,,,,,,,,,,,
ACL26-O-0071,ACL26-W-9467D8B4B48F,7b3ba9deefe99172748582f6025d995ccc2a6f86,208,Latest Research Papers,,Collaborative Gym: A Framework for Enabling and Evaluating Human-Agent Collaboration,https://arxiv.org/abs/2412.15701,arxiv:2412.15701,2024-12-20,arXiv 2024,,,,,,,,,,,
ACL26-O-0072,ACL26-W-DAE52C72AF2E,7b3ba9deefe99172748582f6025d995ccc2a6f86,210,Latest Research Papers,,Towards Modeling Human-Agentic Collaborative Workflows: A BPMN Extension,https://arxiv.org/abs/2412.05958,arxiv:2412.05958,2024-12-08,arXiv 2024,,,,,,,,,,,
ACL26-O-0073,ACL26-W-C0AD100295F8,7b3ba9deefe99172748582f6025d995ccc2a6f86,213,Latest Research Papers,,Effect of Adaptive Communication Support on LLM-powered Human-Robot Collaboration,https://arxiv.org/abs/2412.06808,arxiv:2412.06808,2024-11-26,arXiv 2024,,,,,,,,,,,
ACL26-O-0074,ACL26-W-7B261B704808,7b3ba9deefe99172748582f6025d995ccc2a6f86,215,Latest Research Papers,,PARTNR: A Benchmark for Planning and Reasoning in Embodied Multi-agent Tasks,https://arxiv.org/abs/2411.00081,arxiv:2411.00081,2024-10-31,ICLR 2025,,,,,,,,,,,
ACL26-O-0075,ACL26-W-06599C01AC17,7b3ba9deefe99172748582f6025d995ccc2a6f86,217,Latest Research Papers,,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,https://openreview.net/forum?id=nfKfAzkiez,openreview:nfkfazkiez,2024-10-30,ICLR 2025,,,,,,,,,,,
ACL26-O-0076,ACL26-W-8766D3B5AFD6,7b3ba9deefe99172748582f6025d995ccc2a6f86,219,Latest Research Papers,,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,https://openreview.net/forum?id=sRIU6k2TcU,openreview:sriu6k2tcu,2024-10-16,ICLR 2025,,,,,,,,,,,
ACL26-O-0077,ACL26-W-3CA54311D04A,7b3ba9deefe99172748582f6025d995ccc2a6f86,221,Latest Research Papers,,AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,https://arxiv.org/abs/2409.17655,arxiv:2409.17655,2024-09-26,arXiv 2024,,,,,,,,,,,
ACL26-O-0078,ACL26-W-6C04C7D06702,7b3ba9deefe99172748582f6025d995ccc2a6f86,223,Latest Research Papers,,AXIS: Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,https://arxiv.org/abs/2409.17140,arxiv:2409.17140,2024-09-25,arXiv 2024,,,,,,,,,,,
ACL26-O-0079,ACL26-W-D871D8C34730,7b3ba9deefe99172748582f6025d995ccc2a6f86,225,Latest Research Papers,,Mutual Theory of Mind in Human-AI Collaboration: An Empirical Study with LLM-driven AI Agents in a Real-time Shared Workspace Task,https://arxiv.org/abs/2409.08811,arxiv:2409.08811,2024-09-13,arXiv 2024,,,,,,,,,,,
ACL26-O-0080,ACL26-W-AA6CB8E44012,7b3ba9deefe99172748582f6025d995ccc2a6f86,227,Latest Research Papers,,Into the Unknown Unknowns: Engaged Human Learning through Participation in Language Model Agent Conversations,https://aclanthology.org/2024.emnlp-main.554/,acl:2024.emnlp-main.554,2024-08-27,EMNLP 2024,,,,,,,,,,,
ACL26-O-0081,ACL26-W-363C9C5D6B87,7b3ba9deefe99172748582f6025d995ccc2a6f86,229,Latest Research Papers,,Human-LLM collaboration in generative design for customization,https://www.sciencedirect.com/science/article/pii/S0278612525000731,title:human llm collaboration in generative design for customization,2024-07-12,SME 2024,,,,,,,,,,,
ACL26-O-0082,ACL26-W-91837228F5C3,7b3ba9deefe99172748582f6025d995ccc2a6f86,231,Latest Research Papers,,Enhancing the LLM-Based Robot Manipulation Through Human-Robot Collaboration,https://ieeexplore.ieee.org/document/10561501,title:enhancing the llm based robot manipulation through human robot collaboration,2024-06-20,RAL 2024,,,,,,,,,,,
ACL26-O-0083,ACL26-W-AB131396114B,7b3ba9deefe99172748582f6025d995ccc2a6f86,233,Latest Research Papers,,τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,https://openreview.net/forum?id=roNSXZpUDN,openreview:ronsxzpudn,2024-06-18,ICLR 2025,,,,,,,,,,,
ACL26-O-0084,ACL26-W-59A397CFEBE2,7b3ba9deefe99172748582f6025d995ccc2a6f86,235,Latest Research Papers,,Ask-before-Plan: Proactive Language Agents for Real-World Planning,https://aclanthology.org/2024.findings-emnlp.636/,acl:2024.findings-emnlp.636,2024-06-17,EMNLP 2024,,,,,,,,,,,
ACL26-O-0085,ACL26-W-35C5DACF7EE6,7b3ba9deefe99172748582f6025d995ccc2a6f86,237,Latest Research Papers,,DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,https://proceedings.neurips.cc/paper_files/paper/2024/hash/1704ddd0bb89f159dfe609b32c889995-Abstract-Conference.html,title:digirl training in the wild device control agents with autonomous reinforcement learning,2024-06-14,NeurIPS 2024,,,,,,,,,,,
ACL26-O-0086,ACL26-W-AA99FEC3C3CF,7b3ba9deefe99172748582f6025d995ccc2a6f86,239,Latest Research Papers,,Enhancing Human-Robot Collaborative Assembly in Manufacturing Systems Using Large Language Models,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711843,title:enhancing human robot collaborative assembly in manufacturing systems using large language models,2024-06-04,CASE 2024,,,,,,,,,,,
ACL26-O-0087,ACL26-W-EA3008952FE0,7b3ba9deefe99172748582f6025d995ccc2a6f86,241,Latest Research Papers,,Safe Multi-agent Reinforcement Learning with Natural Language Constraints,https://arxiv.org/abs/2405.20018,arxiv:2405.20018,2024-05-30,arXiv 2024,,,,,,,,,,,
ACL26-O-0088,ACL26-W-31F7D0F06F27,7b3ba9deefe99172748582f6025d995ccc2a6f86,243,Latest Research Papers,,REVECA: Adaptive Planning and Trajectory-based Validation in Cooperative Language Agents using Information Relevance and Relative Proximity,https://arxiv.org/abs/2405.16751,arxiv:2405.16751,2024-05-27,AAAI 2025,,,,,,,,,,,
ACL26-O-0089,ACL26-W-3377393DBDBC,7b3ba9deefe99172748582f6025d995ccc2a6f86,245,Latest Research Papers,,Aligning LLM Agents by Learning Latent Preference from User Edits,https://openreview.net/forum?id=DlYNGpCuwa,openreview:dlyngpcuwa,2024-04-23,NeurIPS 2024,,,,,,,,,,,
ACL26-O-0090,ACL26-W-0F3A21B93B8C,7b3ba9deefe99172748582f6025d995ccc2a6f86,247,Latest Research Papers,,AgentCoord: Visually Exploring Coordination Strategy for LLM-based Multi-Agent Collaboration,https://arxiv.org/abs/2404.11943,arxiv:2404.11943,2024-04-18,arXiv 2024,,,,,,,,,,,
ACL26-O-0091,ACL26-W-9679DA507624,7b3ba9deefe99172748582f6025d995ccc2a6f86,249,Latest Research Papers,,PDFChatAnnotator: A Human-LLM Collaborative Multi-Modal Data Annotation Tool for PDF-Format Catalogs,https://dl.acm.org/doi/10.1145/3640543.3645174,title:pdfchatannotator a human llm collaborative multi modal data annotation tool for pdf format catalogs,2024-04-05,IUI 2024,,,,,,,,,,,
ACL26-O-0092,ACL26-W-724F6C683E77,7b3ba9deefe99172748582f6025d995ccc2a6f86,251,Latest Research Papers,,Embodied LLM Agents Learn to Cooperate in Organized Teams,https://arxiv.org/abs/2403.12482,arxiv:2403.12482,2024-03-19,arXiv 2024,,,,,,,,,,,
ACL26-O-0093,ACL26-W-66BB71E5DDBE,7b3ba9deefe99172748582f6025d995ccc2a6f86,253,Latest Research Papers,,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,https://arxiv.org/abs/2402.05930,arxiv:2402.05930,2024-02-08,arXiv 2024,,,,,,,,,,,
ACL26-O-0094,ACL26-W-B58A3C4DF2F2,7b3ba9deefe99172748582f6025d995ccc2a6f86,255,Latest Research Papers,,Can Large Language Model Agents Simulate Human Trust Behavior?,https://arxiv.org/abs/2402.04559,arxiv:2402.04559,2024-02-07,NeurIPS 2024,,,,,,,,,,,
ACL26-O-0095,ACL26-W-0607C3ECC9D0,7b3ba9deefe99172748582f6025d995ccc2a6f86,257,Latest Research Papers,,A2C: A Modular Multi-stage Collaborative Decision Framework for Human-AI Teams,https://arxiv.org/abs/2401.14432,arxiv:2401.14432,2024-01-25,arXiv 2024,,,,,,,,,,,
